timestamp,pulses
2026-03-17T10:39:22.541737,2086
2026-03-17T10:39:32.134668,2146
2026-03-17T10:39:38.575597,2120
2026-03-17T10:39:44.217512,2072
2026-03-17T10:39:49.976058,2169
2026-03-17T10:39:55.102728,2081
2026-03-17T10:40:04.263833,2100
2026-03-17T10:40:11.714154,2152
2026-03-17T10:40:17.456450,2109
2026-03-17T10:40:22.912693,2102
2026-03-17T10:40:27.282445,2103
2026-03-17T10:40:34.519832,2136
2026-03-17T10:40:42.299325,2092
2026-03-17T10:40:49.530643,2152
2026-03-17T10:40:55.940735,2117
2026-03-17T10:41:00.679458,2114
2026-03-17T10:41:06.931374,2110
2026-03-17T10:41:11.777281,2109
2026-03-17T10:41:16.474765,2087
2026-03-17T10:41:20.600756,2091
2026-03-17T10:41:25.294072,2098
2026-03-17T10:41:31.943651,1931
2026-03-17T10:41:36.333253,2124
2026-03-17T10:41:41.593762,2146
2026-03-17T10:41:48.717631,2095
2026-03-17T10:41:53.269813,2111
2026-03-17T10:41:57.916738,2095
2026-03-17T10:42:03.680374,2155
2026-03-17T10:42:09.324280,2082
2026-03-17T10:42:14.513747,2127
2026-03-17T10:42:19.647222,2115
2026-03-17T10:42:23.789759,2116
2026-03-17T10:42:27.879261,2107
2026-03-17T10:42:33.525640,2111
2026-03-17T10:42:37.917530,2121
2026-03-17T10:42:42.190163,2097
2026-03-17T10:42:46.462530,2114
2026-03-17T10:42:51.547518,2136
2026-03-17T10:42:56.796026,2114
2026-03-17T10:43:00.858933,2096
2026-03-17T10:43:29.259628,2096
2026-03-17T10:43:34.275709,1933
2026-03-17T10:43:38.673882,2110
2026-03-17T10:43:42.972282,2104
2026-03-17T10:43:47.167349,2128
2026-03-17T10:43:52.123404,2133
2026-03-17T10:43:57.290135,2090
2026-03-17T10:44:01.837453,2114
2026-03-17T10:44:06.109584,2128
2026-03-17T10:44:14.002751,2096
2026-03-17T10:44:20.427697,2114
2026-03-17T10:44:25.131985,2120
2026-03-17T10:44:31.757791,2131
2026-03-17T10:44:35.440597,2079
2026-03-17T10:44:39.934698,2134
2026-03-17T10:44:43.293560,2124
2026-03-17T10:44:48.823402,2108
